item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q23077,Lancashire
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1109101,College of Arms
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q335295,"Thomas Stanley, 1st Earl of Derby"
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q75240012,Eleanor Neville
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q75253663,"Joan Lestrange, Baroness Strange"
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q179876,Kingdom of England
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q5544779,"George Stanley, 9th Baron Strange",p1379.htm#i13787,1460-01-01T00:00:00Z,1503-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q105819345,Margaret Stanley
