item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P18,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20of%20Austria%2C%20wife%20of%20Henry%20XV%20of%20Bavaria.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20of%20Austria%2C%20wife%20of%20Henry%20XV%20of%20Bavaria.jpg
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q124950,Frederick the Fair
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q441662,Isabella of Aragon
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1694421,John Henry IV of Gorizia
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q61513,"Henry XV or III, Duke of Bavaria"
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q103163,abbot
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q1646408,abbess
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q65968,House of Habsburg
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/entity/Q166886,duke
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/entity/Q4593319,duchess
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P10085,http://www.wikidata.org/prop/direct/P10085,anna-herzogin-von-niederbayern,anna-herzogin-von-niederbayern
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P10799,http://www.wikidata.org/prop/direct/P10799,05/24/05-24-1343-anna,05/24/05-24-1343-anna
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1185,http://www.wikidata.org/prop/direct/P1185,981724,981724
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q665807,Biographisches Lexikon des Kaiserthums Oesterreich
http://www.wikidata.org/entity/Q2260556,"Anne of Austria, Duchess of Bavaria",p3917.htm#i39164,1318-01-01T00:00:00Z,1343-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q98281053,biografiA: Lexikon österreichischer Frauen
