item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q28665859,Dmitri Romanovich
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q210162,Ivan II of Moscow
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1185,http://www.wikidata.org/prop/direct/P1185,52103,52103
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p11481.htm#i114809,p11481.htm#i114809
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1342-01-01T00:00:00Z,1342-01-01T00:00:00Z
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q600155,Theodosia
http://www.wikidata.org/entity/Q75394648,Theodosia of Briansk,p11481.htm#i114809,,1342-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P7929,http://www.wikidata.org/prop/direct/P7929,p=feodosia;n=rurikides,p=feodosia;n=rurikides
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q4231307,Konstantin of Uglich
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q126126881,Q126126881
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p11484.htm#i114832,p11484.htm#i114832
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1419-10-01T00:00:00Z,1419-10-01T00:00:00Z
http://www.wikidata.org/entity/Q75394654,Anastasia,p11484.htm#i114832,http://www.wikidata.org/.well-known/genid/c34109306015626169e1738540e22fee,1419-10-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P7929,http://www.wikidata.org/prop/direct/P7929,p=anastasie;n=n;oc=2,p=anastasie;n=n;oc=2
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75394660,"Roman of Mezetsk , Duke of Mezetsk"
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q3616222,Andrey Bolshoy
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3148189,Ignace de Vologda
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q4162883,Dmitry Andreyevitch
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q4288972,Q4288972
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P1185,http://www.wikidata.org/prop/direct/P1185,577758,577758
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p11485.htm#i114846,p11485.htm#i114846
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1483-04-11T00:00:00Z,1483-04-11T00:00:00Z
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q13376892,Helen
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P7929,http://www.wikidata.org/prop/direct/P7929,p=elena romanovna;n=mestcherskaia,p=elena romanovna;n=mestcherskaia
http://www.wikidata.org/entity/Q75394658,Helen of Mezetsk,p11485.htm#i114846,,1483-04-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P8172,http://www.wikidata.org/prop/direct/P8172,dw.6330,dw.6330
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/.well-known/genid/3e86a4a9b22b6c7e33421c76ac53f7cd,http://www.wikidata.org/.well-known/genid/3e86a4a9b22b6c7e33421c76ac53f7cd
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/.well-known/genid/085125cb374de62ad8afc7838bdb5d1a,http://www.wikidata.org/.well-known/genid/085125cb374de62ad8afc7838bdb5d1a
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75479,Engelbert I of Nassau-Siegen
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q2917876,Johanna van Polanen
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q84595941,House of Nassau-Siegen (1303-1607)
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P94,http://www.wikidata.org/prop/direct/P94,http://commons.wikimedia.org/wiki/Special:FilePath/Nassau-Dillenburg%201493.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Nassau-Dillenburg%201493.svg
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/entity/Q3519259,count
http://www.wikidata.org/entity/Q75394773,William of Nassau-Siegen,p11500.htm#i114999,1416-12-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/696f145fb1d036e018513828610e0825,,http://www.wikidata.org/prop/direct/P1477,http://www.wikidata.org/prop/direct/P1477,"Wilhelm Graf zu Nassau, Vianden und Diez, Herr zu Breda","Wilhelm Graf zu Nassau, Vianden und Diez, Herr zu Breda"
