item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P18,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Konrad%20und%20seine%20Gemahlin%20Gisela.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Konrad%20und%20seine%20Gemahlin%20Gisela.jpg
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q152256,Conrad II
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q62033,Gisela of Swabia
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00027254,I00027254
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Zol-8,Zol-8
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3051,http://www.wikidata.org/prop/direct/P3051,I3991,I3991
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3368,http://www.wikidata.org/prop/direct/P3368,2280739,2280739
http://www.wikidata.org/entity/Q542672,Matilda of Franconia,p50797.htm#i507963,1027-01-01T00:00:00Z,1034-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q153023,Henry III
