item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75512321,Robert Scott of Rankilburn and Murthockston
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q126012271,NN
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75512279,Robert Scott of Rankilburn and Murthockston
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00280300,I00280300
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Scott-15628,Scott-15628
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p18630.htm#i186293,p18630.htm#i186293
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P511,http://www.wikidata.org/prop/direct/P511,http://www.wikidata.org/entity/Q209690,Sir
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/prop/direct/P570,1402-09-11T00:00:00Z,1402-09-11T00:00:00Z
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q12800811,Scott
http://www.wikidata.org/entity/Q75512283,Sir Walter Scott of Rankilburn and Murthockston,p18630.htm#i186293,,1402-09-11T00:00:00Z,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q499249,Walter
http://www.wikidata.org/entity/Q75512321,Robert Scott of Rankilburn and Murthockston,p18632.htm#i186320,1346-01-01T00:00:00Z,1389-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q75512321,Robert Scott of Rankilburn and Murthockston,p18632.htm#i186320,1346-01-01T00:00:00Z,1389-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75512322,Sir Richard le Scot of Rankilburn and Murthockston
http://www.wikidata.org/entity/Q75512321,Robert Scott of Rankilburn and Murthockston,p18632.htm#i186320,1346-01-01T00:00:00Z,1389-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
