item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q76112870,Christian Wawane
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00214573,I00214573
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Wawane-3,Wawane-3
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p53983.htm#i539825,p53983.htm#i539825
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1460-01-01T00:00:00Z,1460-01-01T00:00:00Z
http://www.wikidata.org/entity/Q76112878,Thomas Wawane of Stevinston,p53983.htm#i539825,1460-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q16428906,Thomas
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q76027125,Lady Janet Graham
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Grahame-67,Grahame-67
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p53984.htm#i539836,p53984.htm#i539836
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P511,http://www.wikidata.org/prop/direct/P511,http://www.wikidata.org/entity/Q209690,Sir
http://www.wikidata.org/entity/Q76112893,Sir Harrie Graham of Morphie,p53984.htm#i539836,1475-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1475-01-01T00:00:00Z,1475-01-01T00:00:00Z
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q76113334,Sir John Oliphant of Aberdalgy
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q27230000,Sir William Graham
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75388317,Elizabeth Graham
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q76112839,John Graham
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Oliphant-76,Oliphant-76
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p53984.htm#i539839,p53984.htm#i539839
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1372-01-01T00:00:00Z,1372-01-01T00:00:00Z
http://www.wikidata.org/entity/Q76112897,Mariot Oliphant,p53984.htm#i539839,1372-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q16880709,Oliphant
http://www.wikidata.org/entity/Q76112902,Catherine Graham,p53985.htm#i539842,1409-01-01T00:00:00Z,1451-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q76112902,Catherine Graham,p53985.htm#i539842,1409-01-01T00:00:00Z,1451-01-01T00:00:00Z,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75388492,Alexander Graham
