item,itemLabel,peerageID,birth,death,floruit,prop,propLabel,value,valueLabel
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75912409,Sir Robert Mansel
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q75912411,Dorothy Fry
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q75912415,Lucy Scurlage
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00755720,I00755720
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Maunsell-100,Maunsell-100
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P4638,http://www.wikidata.org/prop/direct/P4638,p39898.htm#i398972,p39898.htm#i398972
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1327-01-01T00:00:00Z,1327-01-01T00:00:00Z
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q37071906,Mansel
http://www.wikidata.org/entity/Q75912413,Richard Mansel,p39898.htm#i398972,1327-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q1249148,Richard
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q75912413,Richard Mansel
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q75912415,Lucy Scurlage
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q75912417,Isabella Penrice
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q75912418,Sir Richard Mansel
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P1819,http://www.wikidata.org/prop/direct/P1819,I00755717,I00755717
http://www.wikidata.org/entity/Q75912416,Sir Hugh Mansel,p39898.htm#i398974,1340-01-01T00:00:00Z,,,http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/prop/direct/P2949,Maunsell-99,Maunsell-99
